ID,Nombre,Tipo,Marca,Precio,Descuento (%),Precio final,Stock,Descripcion corta,category_id
1,Carretera Bontrager Modelo 196,Carretera,Bontrager,2791.31,0,2791.31,45,Carretera de alta calidad marca Bontrager. Ideal para usuarios exigentes.,3
2,Carretera Specialized Modelo 182,Carretera,Specialized,1754.68,10,1579.21,47,Carretera de alta calidad marca Specialized. Ideal para usuarios exigentes.,3
3,Casco Scott Modelo 192,Casco,Scott,644.24,5,612.03,46,Casco de alta calidad marca Scott. Ideal para usuarios exigentes.,3
4,Electrica Giant Modelo 770,Electrica,Giant,453.03,10,407.73,47,Electrica de alta calidad marca Giant. Ideal para usuarios exigentes.,4
5,Cadena Trek Modelo 662,Cadena,Trek,188.57,20,150.86,7,Cadena de alta calidad marca Trek. Ideal para usuarios exigentes.,1
6,Neumatico Bontrager Modelo 550,Neumatico,Bontrager,1903.93,15,1618.34,31,Neumatico de alta calidad marca Bontrager. Ideal para usuarios exigentes.,2
7,Candado RockShox Modelo 959,Candado,RockShox,242.42,20,193.94,25,Candado de alta calidad marca RockShox. Ideal para usuarios exigentes.,4
8,Carretera Specialized Modelo 134,Carretera,Specialized,1564.21,20,1251.37,4,Carretera de alta calidad marca Specialized. Ideal para usuarios exigentes.,3
9,Cassette RockShox Modelo 396,Cassette,RockShox,2926.34,15,2487.39,11,Cassette de alta calidad marca RockShox. Ideal para usuarios exigentes.,3
10,Carretera Giant Modelo 988,Carretera,Giant,1341.73,15,1140.47,43,Carretera de alta calidad marca Giant. Ideal para usuarios exigentes.,2
11,Neumatico Scott Modelo 693,Neumatico,Scott,1819.36,10,1637.42,20,Neumatico de alta calidad marca Scott. Ideal para usuarios exigentes.,3
12,Casco Trek Modelo 883,Casco,Trek,1257.71,0,1257.71,48,Casco de alta calidad marca Trek. Ideal para usuarios exigentes.,3
13,Montana Shimano Modelo 573,Montana,Shimano,602.12,0,602.12,20,Montana de alta calidad marca Shimano. Ideal para usuarios exigentes.,2
14,Electrica RockShox Modelo 845,Electrica,RockShox,2409.44,0,2409.44,45,Electrica de alta calidad marca RockShox. Ideal para usuarios exigentes.,4
15,Paseo RockShox Modelo 240,Paseo,RockShox,51.7,20,41.36,36,Paseo de alta calidad marca RockShox. Ideal para usuarios exigentes.,2
16,Timbre Giant Modelo 222,Timbre,Giant,842.16,0,842.16,15,Timbre de alta calidad marca Giant. Ideal para usuarios exigentes.,1
17,Electrica Giant Modelo 836,Electrica,Giant,2775.88,0,2775.88,31,Electrica de alta calidad marca Giant. Ideal para usuarios exigentes.,2
18,Cassette Giant Modelo 183,Cassette,Giant,1879.18,5,1785.22,50,Cassette de alta calidad marca Giant. Ideal para usuarios exigentes.,3
19,Casco SRAM Modelo 938,Casco,SRAM,1553.67,15,1320.62,2,Casco de alta calidad marca SRAM. Ideal para usuarios exigentes.,3
20,Carretera Bontrager Modelo 338,Carretera,Bontrager,1427.51,20,1142.01,43,Carretera de alta calidad marca Bontrager. Ideal para usuarios exigentes.,2
21,Cassette Giant Modelo 244,Cassette,Giant,1164.11,20,931.29,23,Cassette de alta calidad marca Giant. Ideal para usuarios exigentes.,3
22,Timbre Bontrager Modelo 456,Timbre,Bontrager,1996.8,0,1996.8,23,Timbre de alta calidad marca Bontrager. Ideal para usuarios exigentes.,1
23,Frenos Specialized Modelo 784,Frenos,Specialized,2664.59,0,2664.59,14,Frenos de alta calidad marca Specialized. Ideal para usuarios exigentes.,3
24,Cadena Trek Modelo 841,Cadena,Trek,785.5,15,667.67,8,Cadena de alta calidad marca Trek. Ideal para usuarios exigentes.,3
25,Frenos Specialized Modelo 508,Frenos,Specialized,1619.71,15,1376.75,18,Frenos de alta calidad marca Specialized. Ideal para usuarios exigentes.,3
26,Neumatico Giant Modelo 476,Neumatico,Giant,716.45,15,608.98,7,Neumatico de alta calidad marca Giant. Ideal para usuarios exigentes.,1
27,Carretera Scott Modelo 775,Carretera,Scott,986.32,5,937.0,50,Carretera de alta calidad marca Scott. Ideal para usuarios exigentes.,3
28,Timbre Giant Modelo 235,Timbre,Giant,135.87,10,122.28,35,Timbre de alta calidad marca Giant. Ideal para usuarios exigentes.,1
29,Infantil SRAM Modelo 849,Infantil,SRAM,2938.06,15,2497.35,21,Infantil de alta calidad marca SRAM. Ideal para usuarios exigentes.,3
30,Cassette RockShox Modelo 401,Cassette,RockShox,734.61,5,697.88,43,Cassette de alta calidad marca RockShox. Ideal para usuarios exigentes.,3
31,Luz Specialized Modelo 945,Luz,Specialized,2502.69,0,2502.69,3,Luz de alta calidad marca Specialized. Ideal para usuarios exigentes.,1
32,Electrica Scott Modelo 915,Electrica,Scott,2788.6,15,2370.31,22,Electrica de alta calidad marca Scott. Ideal para usuarios exigentes.,2
33,Luz Shimano Modelo 161,Luz,Shimano,903.1,0,903.1,37,Luz de alta calidad marca Shimano. Ideal para usuarios exigentes.,2
34,Timbre Shimano Modelo 780,Timbre,Shimano,884.96,20,707.97,47,Timbre de alta calidad marca Shimano. Ideal para usuarios exigentes.,1
35,Carretera Shimano Modelo 981,Carretera,Shimano,130.75,15,111.14,35,Carretera de alta calidad marca Shimano. Ideal para usuarios exigentes.,2
36,Cambio Trek Modelo 139,Cambio,Trek,2065.29,20,1652.23,18,Cambio de alta calidad marca Trek. Ideal para usuarios exigentes.,1
37,Guantes Giant Modelo 558,Guantes,Giant,1495.59,0,1495.59,29,Guantes de alta calidad marca Giant. Ideal para usuarios exigentes.,1
38,Luz Shimano Modelo 293,Luz,Shimano,928.07,0,928.07,0,Luz de alta calidad marca Shimano. Ideal para usuarios exigentes.,3
39,Luz RockShox Modelo 101,Luz,RockShox,2418.78,5,2297.84,4,Luz de alta calidad marca RockShox. Ideal para usuarios exigentes.,4
40,Luz RockShox Modelo 222,Luz,RockShox,1543.67,5,1466.49,1,Luz de alta calidad marca RockShox. Ideal para usuarios exigentes.,4
41,Cadena Scott Modelo 345,Cadena,Scott,2216.26,0,2216.26,28,Cadena de alta calidad marca Scott. Ideal para usuarios exigentes.,1
42,Casco Specialized Modelo 986,Casco,Specialized,2873.21,20,2298.57,35,Casco de alta calidad marca Specialized. Ideal para usuarios exigentes.,1
43,Montana Giant Modelo 276,Montana,Giant,1796.5,5,1706.67,15,Montana de alta calidad marca Giant. Ideal para usuarios exigentes.,2
44,Guantes Scott Modelo 960,Guantes,Scott,489.65,15,416.2,27,Guantes de alta calidad marca Scott. Ideal para usuarios exigentes.,2
45,Candado Giant Modelo 283,Candado,Giant,224.07,10,201.66,2,Candado de alta calidad marca Giant. Ideal para usuarios exigentes.,3
46,Neumatico SRAM Modelo 611,Neumatico,SRAM,434.11,5,412.4,10,Neumatico de alta calidad marca SRAM. Ideal para usuarios exigentes.,3
47,Carretera Specialized Modelo 474,Carretera,Specialized,678.92,20,543.14,2,Carretera de alta calidad marca Specialized. Ideal para usuarios exigentes.,3
48,Casco Shimano Modelo 839,Casco,Shimano,1867.08,10,1680.37,5,Casco de alta calidad marca Shimano. Ideal para usuarios exigentes.,1
49,Cassette Giant Modelo 596,Cassette,Giant,2625.76,10,2363.18,30,Cassette de alta calidad marca Giant. Ideal para usuarios exigentes.,1
50,Luz RockShox Modelo 711,Luz,RockShox,1542.55,10,1388.3,26,Luz de alta calidad marca RockShox. Ideal para usuarios exigentes.,3
51,Electrica Scott Modelo 736,Electrica,Scott,1383.42,5,1314.25,25,Electrica de alta calidad marca Scott. Ideal para usuarios exigentes.,1
52,Cassette SRAM Modelo 158,Cassette,SRAM,1079.18,15,917.3,41,Cassette de alta calidad marca SRAM. Ideal para usuarios exigentes.,2
53,Paseo SRAM Modelo 461,Paseo,SRAM,1851.39,20,1481.11,27,Paseo de alta calidad marca SRAM. Ideal para usuarios exigentes.,2
54,Montana Giant Modelo 101,Montana,Giant,1550.29,10,1395.26,24,Montana de alta calidad marca Giant. Ideal para usuarios exigentes.,3
